wave(um) flux(mJy) ABmag
0.5367 0.000000e+00 inf
0.5373 0.000000e+00 inf
0.5380 0.000000e+00 inf
0.5386 0.000000e+00 inf
0.5392 0.000000e+00 inf
0.5398 0.000000e+00 inf
0.5405 0.000000e+00 inf
0.5411 0.000000e+00 inf
0.5417 0.000000e+00 inf
0.5424 0.000000e+00 inf
0.5430 0.000000e+00 inf
0.5436 0.000000e+00 inf
0.5443 0.000000e+00 inf
0.5449 0.000000e+00 inf
0.5455 0.000000e+00 inf
0.5461 0.000000e+00 inf
0.5468 0.000000e+00 inf
0.5474 0.000000e+00 inf
0.5480 0.000000e+00 inf
0.5487 0.000000e+00 inf
0.5493 0.000000e+00 inf
0.5499 0.000000e+00 inf
0.5505 0.000000e+00 inf
0.5512 0.000000e+00 inf
0.5518 0.000000e+00 inf
0.5524 0.000000e+00 inf
0.5531 0.000000e+00 inf
0.5537 0.000000e+00 inf
0.5543 0.000000e+00 inf
0.5550 0.000000e+00 inf
0.5556 0.000000e+00 inf
0.5562 0.000000e+00 inf
0.5568 0.000000e+00 inf
0.5575 0.000000e+00 inf
0.5581 0.000000e+00 inf
0.5587 0.000000e+00 inf
0.5594 0.000000e+00 inf
0.5600 0.000000e+00 inf
0.5606 0.000000e+00 inf
0.5613 0.000000e+00 inf
0.5619 0.000000e+00 inf
0.5625 0.000000e+00 inf
0.5632 0.000000e+00 inf
0.5638 0.000000e+00 inf
0.5644 0.000000e+00 inf
0.5650 0.000000e+00 inf
0.5657 0.000000e+00 inf
0.5663 0.000000e+00 inf
0.5669 0.000000e+00 inf
0.5676 0.000000e+00 inf
0.5682 0.000000e+00 inf
0.5688 0.000000e+00 inf
0.5695 0.000000e+00 inf
0.5701 0.000000e+00 inf
0.5707 0.000000e+00 inf
0.5713 0.000000e+00 inf
0.5720 0.000000e+00 inf
0.5726 0.000000e+00 inf
0.5732 0.000000e+00 inf
0.5739 0.000000e+00 inf
0.5745 0.000000e+00 inf
0.5751 0.000000e+00 inf
0.5757 0.000000e+00 inf
0.5764 0.000000e+00 inf
0.5770 0.000000e+00 inf
0.5776 0.000000e+00 inf
0.5783 0.000000e+00 inf
0.5789 0.000000e+00 inf
0.5795 0.000000e+00 inf
0.5802 0.000000e+00 inf
0.5808 0.000000e+00 inf
0.5814 0.000000e+00 inf
0.5820 0.000000e+00 inf
0.5827 0.000000e+00 inf
0.5833 0.000000e+00 inf
0.5839 0.000000e+00 inf
0.5846 0.000000e+00 inf
0.5852 0.000000e+00 inf
0.5858 0.000000e+00 inf
0.5865 0.000000e+00 inf
0.5871 0.000000e+00 inf
0.5877 0.000000e+00 inf
0.5884 0.000000e+00 inf
0.5890 0.000000e+00 inf
0.5896 0.000000e+00 inf
0.5902 0.000000e+00 inf
0.5909 0.000000e+00 inf
0.5915 0.000000e+00 inf
0.5921 0.000000e+00 inf
0.5928 0.000000e+00 inf
0.5934 0.000000e+00 inf
0.5940 0.000000e+00 inf
0.5947 0.000000e+00 inf
0.5953 0.000000e+00 inf
0.5959 0.000000e+00 inf
0.5965 0.000000e+00 inf
0.5972 0.000000e+00 inf
0.5978 0.000000e+00 inf
0.5984 0.000000e+00 inf
0.5991 0.000000e+00 inf
0.5997 0.000000e+00 inf
0.6003 0.000000e+00 inf
0.6009 0.000000e+00 inf
0.6016 0.000000e+00 inf
0.6022 0.000000e+00 inf
0.6028 0.000000e+00 inf
0.6035 0.000000e+00 inf
0.6041 0.000000e+00 inf
0.6047 0.000000e+00 inf
0.6054 0.000000e+00 inf
0.6060 0.000000e+00 inf
0.6066 0.000000e+00 inf
0.6072 0.000000e+00 inf
0.6079 0.000000e+00 inf
0.6085 0.000000e+00 inf
0.6091 0.000000e+00 inf
0.6098 0.000000e+00 inf
0.6104 0.000000e+00 inf
0.6110 0.000000e+00 inf
0.6117 0.000000e+00 inf
0.6123 0.000000e+00 inf
0.6129 0.000000e+00 inf
0.6136 0.000000e+00 inf
0.6142 0.000000e+00 inf
0.6148 0.000000e+00 inf
0.6154 0.000000e+00 inf
0.6161 0.000000e+00 inf
0.6167 0.000000e+00 inf
0.6173 0.000000e+00 inf
0.6180 0.000000e+00 inf
